Tweet,Suicide
making some lunch,not suicide post
you want his money ,not suicide post
that crap tok me forever to put together i m going to go slep for days,potential suicide post 
 kiwitwets hey jer since when did you start twitering ,not suicide post
oh that s god to hear but is it over already or you l continue it after the holy wek ,not suicide post
u ve got a list for felow hoties you gona have to share that one amigo ,not suicide post
just because shane made a series on you doesnt mean people take you seriously y htps t co d ra nua u,potential suicide post 
time for some warsaw ber garden chiling,not suicide post
i hate my life lmao i hope i die son or sumn i m to tired of everything,potential suicide post 
everything your lover does for you is for her survival everything your mother does for you is for your survival ,not suicide post
there is a stray cat on campus that loks like garfield the students are always feding him so he is very fat like me ,not suicide post
is on the go ,not suicide post
i have an awful habit of avoiding writing papers by watching instagram live videos of the kids i used to nany for htps t co npfzu gwy,potential suicide post 
haha wel i have more but i don t have to do anything but file the rest away or delete them ,not suicide post
god hwo re you ,not suicide post
i want to say il never be active again not quite sure i dont have any reason to be on here anymore anyways bye everyone t ,potential suicide post 
focus on oportunities more than you focus on money ,not suicide post
somebody please fucking kil me im so in love htps t co wbvmkzdh,potential suicide post 
i m at the point of the semester where i m so tired of everything i just want to rol over and die ,potential suicide post 
want to die so much i dont want to be here anymore,potential suicide post 
and i hate the fact if it s true dojae wil do surgery dojae has to endure the pain alone without segye a htps t co b hm mjqre,potential suicide post 
rt when you re tired of living your life al you can do is close your eyes and go to slep ,potential suicide post 
i am going to kil myself right now i am sory you are feling so desperate,potential suicide post 
enjoy i just can t get into it this season but hapy to know that you re geting your grove on ,not suicide post
blodstain on the carpet ready to go htp short to uqb,not suicide post
realy fuckin want this portion of my life to be over ,potential suicide post 
i m very very hungry don t anyone on my timeline dare to talk about fod or i l seriously eat you up ,not suicide post
mom always used to want everyone home before dark as though anything was out there at night that wasn t there during the day ,not suicide post
i think you l do whatever you want ,not suicide post
that sounds so terible that s how i was when my dad stil lived w me but i hope it gets beter for htps t co oah tunbxt,potential suicide post 
no just one shortly before the soap awards judging starts ,not suicide post
just had a conversation with about how dependent we sem to be of internet and mobile phones nowadays ,not suicide post
oh yes i was reading that one,not suicide post
my life is so miserable and it s not geting beter ,potential suicide post 
you sau i stod up at then of to ofenbach home outside sunshine love you ,not suicide post
she is not tired ,not suicide post
rt being a single momy was never part of the plan but i wake up everyday and do my shit ,potential suicide post 
but what bezos de blasio and cuomo have down is walked into our litle lego town kicked al of our lego towers a htps t co wqdasf n ,potential suicide post 
i want money,not suicide post
how was it so i know what to expect ,not suicide post
m mumy s culinary skils has ben improving smels so god i m loving home coked fod ,not suicide post
i ned to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt god to se people aproach me to help me after the crash the feling of my body being draged by my bike for several meters on the ground loking at the sky while this one song played in my earphonesi ve just felt emptines for the past yearsi don t want this second chance i want to get on my broken bike bring it up to sped one last time and then just end it al i just don t want to drown anymore please,potential suicide post 
brushin mah tef secularly ,not suicide post
i l be in london today wave if you se me,not suicide post
i am loking for the beroca then al wil be wel,not suicide post
thank you i thought it was pas it around have a great day luv ur stuf,not suicide post
i wana die i don t deserve a piece of anything i don t belong anywhere i m sick and tired of everything the sa htps t co hbfnfxi,potential suicide post 
i fucking hate my whole family al they do is making me fel fat and i m so done with feling bad about my body and htps t co exwykcgcrf,potential suicide post 
i luv your blog to fashion is lt ,not suicide post
sory for your los this post gave me gosebumps because although i haven t thought of suicide your d htps t co vnpwhs zqu,potential suicide post 
ha ha i started something with the rocquestar thing didn t i ,not suicide post
photoboth is black and white and way old we cal him herbert lol i love him he s like a living legend gota love berlin lt ,not suicide post
the one we were loking out for ,not suicide post
he want to kil her ,not suicide post
u understand what the fuck im doing wrong with my life,potential suicide post 
aw i realy wish i could be there to give ya some serious tlc rachel hun sending ya huge hugz and kises,not suicide post
loking for help on testing prawn pdfs with cucumber al i can find is prawn and cucumber salad recipes htp tinyurl com cn z,not suicide post
he should tel them that his sister fixed it,not suicide post
something weird in that i couldn t stop thinking about him couldn t slep then out of some old papers a card i di htps t co eitpod uat,potential suicide post 
congratulations john i m a crepy actor not a swet actor,not suicide post
he he thanks,not suicide post
in the photoshop,not suicide post
normal workday for me i do stil have plans aspirations to submit some info for the miz mag honest i do ,not suicide post
easy way is to go to mbk and get it hacked got a cn rom on his th phone ,not suicide post
i just dont want to fucking be here anymore please someone just fucking end me because i know itl be worse for everyone if i do it myself and fuck do i want to but please please someone just kil me please,potential suicide post 
i m tired ,not suicide post
